blind_id,run_id,model,condition,bucket
B0390,M1_C1_KP6_T2_A_r01,M1,C1,numeric_wrong
B0391,M3_C1_KP4_T3_A_r03,M3,C1,numeric_wrong
B0392,M3_C1_KP3_T1_B_r07,M3,C1,numeric_wrong
B0393,M1_C1_KP3_T3_B_r08,M1,C1,numeric_wrong
B0394,M3_C2_KP2_T2_can_r02,M3,C2,numeric_wrong
B0395,M3_C3_KP2_T3_B_r10,M3,C3,numeric_wrong
B0396,M1_C1_KP3_T3_A_r02,M1,C1,numeric_wrong
B0397,M3_C1_KP3_T3_A_r02,M3,C1,numeric_wrong
B0398,M3_C1_KP4_T3_B_r08,M3,C1,numeric_wrong
B0399,M2_C2_KP3_T3_can_r03,M2,C2,numeric_wrong
B0400,M2_C2_KP2_T3_can_r02,M2,C2,numeric_wrong
B0401,M3_C3_KP5_T3_A_r03,M3,C3,numeric_wrong
B0402,M1_C3_KP4_T3_B_r07,M1,C3,numeric_wrong
B0403,M2_C1_KP4_T3_B_r06,M2,C1,defensible
B0404,M3_C2_KP4_T3_can_r02,M3,C2,defensible
B0405,M3_C2_KP3_T2_can_r03,M3,C2,numeric_wrong
B0406,M1_C3_KP3_T1_B_r08,M1,C3,numeric_wrong
B0407,M1_C1_KP5_T1_A_r01,M1,C1,numeric_wrong
B0408,M3_C3_KP4_T1_A_r02,M3,C3,numeric_wrong
B0409,M3_C3_KP3_T3_B_r08,M3,C3,numeric_wrong
B0410,M1_C4_KP4_T1_can_r03,M1,C4,numeric_wrong
B0411,M3_C3_KP4_T1_B_r07,M3,C3,numeric_wrong
B0412,M3_C3_KP3_T1_B_r07,M3,C3,numeric_wrong
B0413,M1_C2_KP3_T2_can_r07,M1,C2,numeric_wrong
B0414,M2_C2_KP4_T1_can_r07,M2,C2,numeric_wrong
B0415,M3_C1_KP4_T1_A_r01,M3,C1,numeric_wrong
B0416,M1_C3_KP3_T1_A_r04,M1,C3,numeric_wrong
B0417,M3_C1_KP2_T1_A_r04,M3,C1,numeric_wrong
B0418,M1_C4_KP3_T1_can_r08,M1,C4,numeric_wrong
B0419,M1_C2_KP5_T1_can_r08,M1,C2,numeric_wrong
B0420,M1_C1_KP4_T1_B_r09,M1,C1,numeric_wrong
B0421,M3_C2_KP6_T3_can_r07,M3,C2,numeric_wrong
B0422,M2_C3_KP2_T3_B_r10,M2,C3,numeric_wrong
B0423,M1_C1_KP1_T2_B_r10,M1,C1,numeric_wrong
B0424,M3_C2_KP3_T3_can_r02,M3,C2,numeric_wrong
B0425,M3_C1_KP4_T1_B_r07,M3,C1,numeric_wrong
B0426,M2_C3_KP4_T1_A_r02,M2,C3,numeric_wrong
B0427,M3_C3_KP5_T2_B_r06,M3,C3,numeric_wrong
B0428,M3_C2_KP2_T2_can_r07,M3,C2,numeric_wrong
B0429,M1_C3_KP3_T1_A_r02,M1,C3,numeric_wrong
B0430,M1_C1_KP5_T3_B_r09,M1,C1,numeric_wrong
B0431,M1_C2_KP4_T1_can_r07,M1,C2,numeric_wrong
B0432,M1_C1_KP6_T2_A_r02,M1,C1,numeric_wrong
B0433,M3_C1_KP4_T3_A_r02,M3,C1,numeric_wrong
B0434,M1_C3_KP3_T2_B_r09,M1,C3,numeric_wrong
B0435,M3_C3_KP4_T3_B_r06,M3,C3,numeric_wrong
B0436,M3_C1_KP3_T1_A_r04,M3,C1,numeric_wrong
B0437,M1_C3_KP4_T1_B_r06,M1,C3,numeric_wrong
B0438,M1_C2_KP4_T1_can_r02,M1,C2,numeric_wrong
B0439,M1_C4_KP5_T3_can_r04,M1,C4,numeric_wrong
B0440,M1_C2_KP5_T2_can_r06,M1,C2,numeric_wrong
B0441,M1_C3_KP1_T3_B_r06,M1,C3,numeric_wrong
B0442,M2_C3_KP2_T3_B_r07,M2,C3,numeric_wrong
B0443,M1_C2_KP3_T3_can_r06,M1,C2,numeric_wrong
B0444,M1_C3_KP1_T2_A_r02,M1,C3,numeric_wrong
B0445,M1_C2_KP6_T3_can_r01,M1,C2,numeric_wrong
B0446,M3_C1_KP5_T2_A_r04,M3,C1,numeric_wrong
B0447,M2_C1_KP2_T1_B_r06,M2,C1,numeric_wrong
B0448,M1_C1_KP6_T1_B_r08,M1,C1,numeric_wrong
B0449,M3_C3_KP6_T1_B_r07,M3,C3,numeric_wrong
B0450,M1_C1_KP4_T1_B_r08,M1,C1,numeric_wrong
B0451,M1_C2_KP6_T1_can_r06,M1,C2,numeric_wrong
B0452,M2_C1_KP6_T1_B_r07,M2,C1,numeric_wrong
B0453,M1_C3_KP6_T2_A_r02,M1,C3,numeric_wrong
B0454,M1_C2_KP4_T3_can_r05,M1,C2,defensible
B0455,M3_C1_KP3_T1_A_r05,M3,C1,numeric_wrong
B0456,M3_C3_KP5_T1_A_r02,M3,C3,numeric_wrong
B0457,M3_C3_KP6_T2_B_r09,M3,C3,numeric_wrong
B0458,M1_C4_KP6_T2_can_r04,M1,C4,numeric_wrong
B0459,M3_C3_KP6_T1_A_r05,M3,C3,numeric_wrong
B0460,M1_C1_KP5_T1_A_r04,M1,C1,numeric_wrong
B0461,M2_C1_KP6_T3_B_r06,M2,C1,numeric_wrong
B0462,M3_C1_KP6_T2_A_r05,M3,C1,numeric_wrong
B0463,M1_C2_KP3_T3_can_r01,M1,C2,numeric_wrong
B0464,M1_C1_KP4_T3_A_r04,M1,C1,numeric_wrong
B0465,M3_C3_KP5_T1_B_r08,M3,C3,numeric_wrong
B0466,M1_C3_KP5_T2_A_r05,M1,C3,numeric_wrong
B0467,M1_C3_KP6_T1_B_r09,M1,C3,numeric_wrong
B0468,M3_C2_KP3_T3_can_r01,M3,C2,numeric_wrong
B0469,M3_C3_KP5_T1_A_r04,M3,C3,numeric_wrong
B0470,M3_C2_KP6_T1_can_r08,M3,C2,numeric_wrong
B0471,M1_C3_KP4_T1_A_r03,M1,C3,numeric_wrong
B0472,M2_C3_KP6_T3_B_r10,M2,C3,numeric_wrong
B0473,M2_C3_KP3_T3_B_r06,M2,C3,numeric_wrong
B0474,M2_C1_KP6_T1_A_r05,M2,C1,numeric_wrong
B0475,M1_C3_KP2_T3_B_r07,M1,C3,numeric_wrong
B0476,M1_C2_KP5_T2_can_r02,M1,C2,numeric_wrong
B0477,M1_C2_KP3_T2_can_r10,M1,C2,numeric_wrong
B0478,M3_C3_KP3_T3_A_r05,M3,C3,numeric_wrong
B0479,M3_C2_KP2_T3_can_r02,M3,C2,numeric_wrong
B0480,M1_C3_KP5_T2_B_r08,M1,C3,numeric_wrong
B0481,M2_C1_KP6_T3_B_r07,M2,C1,numeric_wrong
B0482,M1_C1_KP3_T1_B_r09,M1,C1,numeric_wrong
B0483,M3_C3_KP6_T1_A_r03,M3,C3,numeric_wrong
B0484,M1_C1_KP6_T2_B_r08,M1,C1,numeric_wrong
B0485,M1_C2_KP6_T2_can_r04,M1,C2,numeric_wrong
B0486,M3_C1_KP2_T2_A_r02,M3,C1,numeric_wrong
B0487,M3_C1_KP5_T2_A_r01,M3,C1,numeric_wrong
B0488,M2_C2_KP6_T1_can_r07,M2,C2,numeric_wrong
B0489,M1_C1_KP4_T3_B_r06,M1,C1,numeric_wrong
B0490,M1_C3_KP4_T1_B_r09,M1,C3,numeric_wrong
B0491,M1_C2_KP2_T3_can_r06,M1,C2,numeric_wrong
B0492,M1_C4_KP4_T1_can_r05,M1,C4,numeric_wrong
B0493,M3_C2_KP3_T3_can_r05,M3,C2,defensible
B0494,M1_C3_KP3_T1_B_r06,M1,C3,numeric_wrong
B0495,M1_C2_KP6_T1_can_r05,M1,C2,numeric_wrong
B0496,M2_C2_KP6_T1_can_r09,M2,C2,numeric_wrong
B0497,M2_C2_KP3_T3_can_r02,M2,C2,numeric_wrong
B0498,M1_C1_KP2_T1_A_r04,M1,C1,numeric_wrong
B0499,M3_C3_KP5_T3_A_r05,M3,C3,numeric_wrong
B0500,M1_C1_KP2_T1_A_r02,M1,C1,numeric_wrong
B0501,M3_C2_KP6_T3_can_r01,M3,C2,numeric_wrong
B0502,M1_C1_KP5_T1_A_r02,M1,C1,numeric_wrong
B0503,M3_C2_KP4_T3_can_r08,M3,C2,defensible
B0504,M1_C1_KP2_T1_B_r08,M1,C1,numeric_wrong
B0505,M3_C1_KP1_T3_A_r02,M3,C1,numeric_wrong
B0506,M1_C3_KP2_T3_B_r06,M1,C3,numeric_wrong
B0507,M3_C3_KP3_T1_B_r06,M3,C3,numeric_wrong
B0508,M2_C3_KP3_T2_B_r07,M2,C3,numeric_wrong
B0509,M3_C1_KP1_T3_A_r03,M3,C1,numeric_wrong
B0510,M3_C1_KP4_T1_B_r10,M3,C1,numeric_wrong
B0511,M2_C3_KP5_T1_B_r06,M2,C3,numeric_wrong
B0512,M1_C1_KP6_T2_A_r03,M1,C1,numeric_wrong
B0513,M1_C2_KP3_T3_can_r05,M1,C2,numeric_wrong
B0514,M1_C2_KP3_T2_can_r05,M1,C2,numeric_wrong
B0515,M2_C1_KP1_T3_B_r06,M2,C1,numeric_wrong
B0516,M1_C3_KP4_T3_B_r08,M1,C3,numeric_wrong
B0517,M2_C1_KP6_T2_A_r04,M2,C1,numeric_wrong
B0518,M3_C1_KP6_T3_B_r10,M3,C1,numeric_wrong
B0519,M1_C1_KP1_T3_B_r07,M1,C1,numeric_wrong
B0520,M1_C3_KP1_T3_B_r09,M1,C3,numeric_wrong
B0521,M1_C2_KP3_T2_can_r09,M1,C2,numeric_wrong
B0522,M1_C1_KP1_T2_A_r03,M1,C1,numeric_wrong
B0523,M1_C1_KP6_T2_B_r09,M1,C1,numeric_wrong
B0524,M2_C3_KP4_T3_B_r06,M2,C3,defensible
B0525,M2_C3_KP3_T3_B_r08,M2,C3,numeric_wrong
B0526,M3_C3_KP6_T1_B_r06,M3,C3,numeric_wrong
B0527,M3_C2_KP2_T1_can_r08,M3,C2,numeric_wrong
B0528,M3_C2_KP2_T3_can_r09,M3,C2,numeric_wrong
B0529,M1_C3_KP3_T3_A_r02,M1,C3,numeric_wrong
B0530,M1_C3_KP3_T2_B_r08,M1,C3,numeric_wrong
B0531,M1_C1_KP6_T2_A_r04,M1,C1,numeric_wrong
B0532,M1_C2_KP2_T3_can_r09,M1,C2,numeric_wrong
B0533,M1_C2_KP5_T3_can_r03,M1,C2,numeric_wrong
B0534,M2_C3_KP4_T3_B_r08,M2,C3,numeric_wrong
B0535,M1_C1_KP6_T1_B_r10,M1,C1,numeric_wrong
B0536,M1_C1_KP2_T3_A_r05,M1,C1,numeric_wrong
B0537,M1_C1_KP1_T2_A_r01,M1,C1,numeric_wrong
B0538,M1_C1_KP3_T2_A_r01,M1,C1,numeric_wrong
B0539,M1_C1_KP1_T3_A_r03,M1,C1,numeric_wrong
B0540,M2_C3_KP2_T3_A_r01,M2,C3,numeric_wrong
B0541,M3_C1_KP1_T3_B_r09,M3,C1,numeric_wrong
B0542,M1_C2_KP6_T2_can_r09,M1,C2,numeric_wrong
B0543,M3_C3_KP6_T1_B_r09,M3,C3,numeric_wrong
B0544,M3_C1_KP3_T2_A_r04,M3,C1,numeric_wrong
B0545,M2_C1_KP2_T1_B_r10,M2,C1,numeric_wrong
B0546,M3_C3_KP2_T3_A_r04,M3,C3,numeric_wrong
B0547,M3_C2_KP6_T3_can_r08,M3,C2,numeric_wrong
B0548,M1_C2_KP4_T1_can_r08,M1,C2,numeric_wrong
B0549,M2_C1_KP6_T1_A_r03,M2,C1,numeric_wrong
B0550,M3_C1_KP2_T2_A_r03,M3,C1,numeric_wrong
B0551,M1_C1_KP2_T3_B_r10,M1,C1,numeric_wrong
B0552,M1_C1_KP3_T2_B_r09,M1,C1,numeric_wrong
B0553,M3_C1_KP1_T1_B_r08,M3,C1,numeric_wrong
B0554,M1_C3_KP6_T2_A_r05,M1,C3,numeric_wrong
B0555,M1_C3_KP5_T2_B_r07,M1,C3,numeric_wrong
B0556,M1_C2_KP3_T3_can_r08,M1,C2,numeric_wrong
B0557,M3_C3_KP4_T3_A_r02,M3,C3,numeric_wrong
B0558,M1_C1_KP3_T3_B_r10,M1,C1,numeric_wrong
B0559,M2_C3_KP4_T1_A_r03,M2,C3,numeric_wrong
B0560,M1_C4_KP5_T3_can_r10,M1,C4,numeric_wrong
B0561,M3_C3_KP4_T3_B_r07,M3,C3,numeric_wrong
B0562,M2_C3_KP2_T3_A_r04,M2,C3,numeric_wrong
B0563,M1_C3_KP4_T1_B_r07,M1,C3,numeric_wrong
B0564,M1_C1_KP4_T1_B_r07,M1,C1,numeric_wrong
B0565,M1_C1_KP1_T3_B_r06,M1,C1,numeric_wrong
B0566,M1_C1_KP5_T2_A_r03,M1,C1,numeric_wrong
B0567,M1_C1_KP6_T1_B_r09,M1,C1,numeric_wrong
B0568,M3_C1_KP5_T1_A_r05,M3,C1,numeric_wrong
B0569,M1_C1_KP5_T2_B_r09,M1,C1,numeric_wrong
B0570,M3_C1_KP3_T3_B_r09,M3,C1,numeric_wrong
B0571,M1_C3_KP1_T1_B_r09,M1,C3,numeric_wrong
B0572,M1_C2_KP5_T3_can_r08,M1,C2,numeric_wrong
B0573,M1_C1_KP4_T1_A_r03,M1,C1,numeric_wrong
B0574,M1_C2_KP6_T1_can_r07,M1,C2,numeric_wrong
B0575,M1_C1_KP2_T1_A_r03,M1,C1,numeric_wrong
B0576,M1_C3_KP3_T1_B_r10,M1,C3,numeric_wrong
B0577,M2_C3_KP4_T3_B_r09,M2,C3,numeric_wrong
B0578,M1_C1_KP4_T1_B_r06,M1,C1,numeric_wrong
B0579,M2_C1_KP2_T2_B_r07,M2,C1,numeric_wrong
B0580,M1_C1_KP3_T3_A_r03,M1,C1,numeric_wrong
B0581,M2_C3_KP4_T3_A_r04,M2,C3,numeric_wrong
B0582,M3_C1_KP6_T3_A_r05,M3,C1,numeric_wrong
B0583,M1_C1_KP3_T2_A_r02,M1,C1,numeric_wrong
B0584,M3_C3_KP4_T3_A_r04,M3,C3,numeric_wrong
B0585,M3_C1_KP1_T3_A_r01,M3,C1,numeric_wrong
B0586,M2_C3_KP2_T3_B_r08,M2,C3,numeric_wrong
B0587,M2_C2_KP6_T3_can_r05,M2,C2,numeric_wrong
B0588,M2_C3_KP4_T3_B_r07,M2,C3,defensible
B0589,M2_C2_KP6_T3_can_r06,M2,C2,numeric_wrong
B0590,M1_C1_KP4_T1_A_r04,M1,C1,numeric_wrong
B0591,M1_C1_KP2_T2_A_r02,M1,C1,numeric_wrong
B0592,M1_C1_KP3_T2_B_r08,M1,C1,numeric_wrong
B0593,M1_C3_KP3_T1_A_r03,M1,C3,numeric_wrong
B0594,M2_C1_KP6_T2_B_r07,M2,C1,numeric_wrong
B0595,M3_C3_KP5_T2_A_r01,M3,C3,numeric_wrong
B0596,M1_C3_KP4_T3_B_r10,M1,C3,numeric_wrong
B0597,M3_C1_KP3_T3_A_r01,M3,C1,numeric_wrong
B0598,M2_C2_KP3_T3_can_r04,M2,C2,numeric_wrong
B0599,M3_C1_KP6_T1_B_r10,M3,C1,numeric_wrong
B0600,M2_C4_KP6_T3_can_r09,M2,C4,numeric_wrong
B0601,M3_C1_KP5_T1_A_r02,M3,C1,numeric_wrong
B0602,M1_C1_KP5_T2_B_r10,M1,C1,numeric_wrong
B0603,M1_C1_KP4_T1_B_r10,M1,C1,numeric_wrong
B0604,M3_C3_KP1_T3_A_r05,M3,C3,numeric_wrong
B0605,M3_C1_KP6_T1_A_r03,M3,C1,numeric_wrong
B0606,M1_C3_KP5_T2_A_r02,M1,C3,numeric_wrong
B0607,M1_C3_KP3_T3_A_r03,M1,C3,numeric_wrong
B0608,M1_C2_KP6_T1_can_r02,M1,C2,numeric_wrong
B0609,M1_C3_KP4_T1_A_r01,M1,C3,numeric_wrong
B0610,M1_C3_KP3_T3_A_r01,M1,C3,numeric_wrong
B0611,M3_C1_KP4_T3_B_r09,M3,C1,numeric_wrong
B0612,M2_C1_KP6_T2_B_r09,M2,C1,numeric_wrong
B0613,M2_C3_KP3_T3_A_r01,M2,C3,numeric_wrong
B0614,M1_C3_KP1_T2_A_r05,M1,C3,numeric_wrong
B0615,M2_C3_KP6_T3_B_r09,M2,C3,numeric_wrong
B0616,M1_C1_KP3_T3_B_r06,M1,C1,numeric_wrong
B0617,M1_C1_KP1_T3_B_r10,M1,C1,numeric_wrong
B0618,M1_C3_KP1_T1_A_r02,M1,C3,numeric_wrong
B0619,M1_C2_KP6_T3_can_r09,M1,C2,numeric_wrong
B0620,M3_C1_KP4_T1_B_r06,M3,C1,numeric_wrong
B0621,M1_C3_KP4_T1_B_r08,M1,C3,numeric_wrong
B0622,M1_C1_KP2_T1_B_r06,M1,C1,numeric_wrong
B0623,M3_C3_KP1_T3_A_r02,M3,C3,numeric_wrong
B0624,M1_C3_KP4_T3_A_r03,M1,C3,defensible
B0625,M2_C3_KP6_T1_B_r08,M2,C3,numeric_wrong
B0626,M1_C3_KP3_T3_B_r08,M1,C3,numeric_wrong
B0627,M3_C1_KP5_T1_B_r07,M3,C1,numeric_wrong
B0628,M1_C1_KP2_T1_A_r01,M1,C1,numeric_wrong
B0629,M2_C3_KP1_T3_B_r07,M2,C3,numeric_wrong
B0630,M3_C3_KP4_T1_B_r10,M3,C3,numeric_wrong
B0631,M3_C1_KP4_T3_B_r07,M3,C1,numeric_wrong
B0632,M2_C3_KP3_T3_A_r02,M2,C3,numeric_wrong
B0633,M1_C2_KP6_T1_can_r10,M1,C2,numeric_wrong
B0634,M2_C1_KP5_T1_A_r01,M2,C1,numeric_wrong
B0635,M3_C1_KP6_T1_B_r07,M3,C1,numeric_wrong
B0636,M3_C1_KP3_T3_B_r06,M3,C1,numeric_wrong
B0637,M1_C3_KP5_T1_A_r02,M1,C3,numeric_wrong
B0638,M2_C3_KP4_T3_A_r01,M2,C3,defensible
B0639,M1_C1_KP3_T2_A_r03,M1,C1,numeric_wrong
B0640,M1_C1_KP1_T3_B_r09,M1,C1,numeric_wrong
B0641,M1_C1_KP1_T1_B_r10,M1,C1,numeric_wrong
B0642,M3_C3_KP3_T3_B_r07,M3,C3,numeric_wrong
B0643,M3_C3_KP1_T3_B_r08,M3,C3,numeric_wrong
B0644,M1_C2_KP3_T2_can_r03,M1,C2,numeric_wrong
B0645,M1_C1_KP1_T2_B_r09,M1,C1,numeric_wrong
B0646,M3_C1_KP1_T3_B_r07,M3,C1,numeric_wrong
B0647,M1_C2_KP5_T2_can_r08,M1,C2,numeric_wrong
B0648,M2_C1_KP2_T1_B_r08,M2,C1,numeric_wrong
B0649,M3_C1_KP4_T1_B_r08,M3,C1,numeric_wrong
B0650,M1_C1_KP2_T3_B_r06,M1,C1,numeric_wrong
B0651,M2_C1_KP6_T2_A_r03,M2,C1,numeric_wrong
B0652,M2_C1_KP6_T2_B_r08,M2,C1,numeric_wrong
B0653,M2_C1_KP3_T3_A_r02,M2,C1,numeric_wrong
B0654,M3_C3_KP1_T1_B_r06,M3,C3,numeric_wrong
B0655,M1_C3_KP4_T2_A_r04,M1,C3,numeric_wrong
B0656,M1_C1_KP5_T1_B_r06,M1,C1,numeric_wrong
B0657,M3_C1_KP6_T2_B_r07,M3,C1,numeric_wrong
B0658,M1_C1_KP1_T2_B_r06,M1,C1,numeric_wrong
B0659,M1_C1_KP4_T1_A_r05,M1,C1,numeric_wrong
B0660,M1_C3_KP1_T3_A_r01,M1,C3,numeric_wrong
B0661,M1_C3_KP1_T1_A_r05,M1,C3,numeric_wrong
B0662,M2_C3_KP5_T2_B_r09,M2,C3,numeric_wrong
B0663,M1_C1_KP5_T1_B_r08,M1,C1,numeric_wrong
B0664,M3_C2_KP2_T3_can_r03,M3,C2,numeric_wrong
B0665,M3_C3_KP4_T1_B_r06,M3,C3,numeric_wrong
B0666,M3_C3_KP1_T3_A_r01,M3,C3,numeric_wrong
B0667,M2_C1_KP1_T3_B_r07,M2,C1,numeric_wrong
B0668,M1_C3_KP4_T3_B_r06,M1,C3,numeric_wrong
B0669,M3_C1_KP6_T1_B_r08,M3,C1,numeric_wrong
B0670,M3_C3_KP2_T3_B_r08,M3,C3,numeric_wrong
B0671,M1_C2_KP3_T3_can_r04,M1,C2,numeric_wrong
B0672,M1_C2_KP2_T3_can_r07,M1,C2,numeric_wrong
B0673,M3_C1_KP4_T3_B_r10,M3,C1,numeric_wrong
B0674,M2_C2_KP1_T2_can_r08,M2,C2,numeric_wrong
B0675,M1_C2_KP6_T1_can_r03,M1,C2,numeric_wrong
B0676,M3_C3_KP2_T3_B_r09,M3,C3,numeric_wrong
B0677,M1_C3_KP5_T2_B_r09,M1,C3,numeric_wrong
B0678,M1_C1_KP6_T2_B_r10,M1,C1,numeric_wrong
B0679,M3_C3_KP2_T3_A_r05,M3,C3,numeric_wrong
B0680,M2_C3_KP5_T3_A_r02,M2,C3,numeric_wrong
B0681,M1_C1_KP3_T1_A_r04,M1,C1,numeric_wrong
B0682,M1_C4_KP3_T1_can_r09,M1,C4,numeric_wrong
B0683,M1_C3_KP3_T3_B_r10,M1,C3,numeric_wrong
B0684,M3_C3_KP6_T3_B_r10,M3,C3,numeric_wrong
B0685,M1_C2_KP6_T1_can_r01,M1,C2,numeric_wrong
B0686,M3_C1_KP6_T2_A_r03,M3,C1,numeric_wrong
